Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
92,-0.59542,0.12214,-0.52672,-1.01196,0.05811,-0.13696,0.00,0.00,0.00
93,-0.12977,0.26718,-0.69466,-1.02026,0.05591,-0.14307,0.00,0.00,0.00
94,-0.37405,0.05344,-0.58779,-1.01880,0.05518,-0.13306,0.00,0.00,0.00
95,-0.32824,0.41221,-0.54198,-1.02173,0.06616,-0.13135,0.00,0.00,0.00
96,-0.45802,0.16794,-0.70229,-1.01855,0.06152,-0.12427,0.00,0.00,0.00
97,-0.23664,0.06870,-0.76336,-1.01660,0.05640,-0.11963,0.00,0.00,0.00
98,-0.29008,0.38168,-0.73282,-1.01733,0.06494,-0.12891,0.00,0.00,0.00
99,-0.15267,0.16794,-0.54198,-1.01733,0.05957,-0.13892,0.00,0.00,0.00
100,-0.22137,0.06870,-0.54962,-1.01440,0.05420,-0.12939,0.00,0.00,0.00
101,-0.32824,0.18321,-0.60305,-1.01538,0.06006,-0.13135,0.00,0.00,0.00
102,-0.13740,0.11450,-0.58779,-1.01733,0.05615,-0.13525,0.00,0.00,0.00
103,-0.06870,0.22137,-0.60305,-1.02100,0.05811,-0.13354,0.00,0.00,0.00
104,-0.32824,0.10687,-0.82443,-1.00879,0.05615,-0.13672,0.00,0.00,0.00
105,-0.12214,0.00000,-0.70992,-1.01416,0.06152,-0.13477,0.00,0.00,0.00
106,-0.06870,0.12977,-0.84733,-1.01807,0.05859,-0.12500,0.00,0.00,0.00
107,-0.09924,0.07634,-0.87023,-1.01099,0.05957,-0.13330,0.00,0.00,0.00
108,-0.37405,-0.09160,-0.85496,-1.02246,0.06030,-0.13037,0.00,0.00,0.00
109,-0.25191,-0.00763,-0.53435,-1.01587,0.05933,-0.13452,0.00,0.00,0.00
110,-0.12214,-0.00763,-0.83206,-1.01587,0.05762,-0.13232,0.00,0.00,0.00
111,-0.16794,0.15267,-0.95420,-1.02173,0.05811,-0.14014,0.00,0.00,0.00
112,-0.12977,0.06870,-0.58015,-1.01440,0.05713,-0.13159,0.00,0.00,0.00
113,-0.34351,-0.04580,-0.80916,-1.02026,0.05469,-0.14233,0.00,0.00,0.00
114,-0.16031,-0.03817,-0.71756,-1.01782,0.05493,-0.12817,0.00,0.00,0.00
115,-0.13740,-0.09160,-0.83969,-1.01587,0.05688,-0.12646,0.00,0.00,0.00
116,0.02290,0.09160,-0.67176,-1.01709,0.05298,-0.14038,0.00,0.00,0.00
117,-0.04580,0.16031,-0.64122,-1.01978,0.05859,-0.12793,0.00,0.00,0.00
118,-0.21374,0.10687,-0.53435,-1.01636,0.05151,-0.13525,0.00,0.00,0.00
119,-0.12214,-0.01527,-0.39695,-1.01880,0.05444,-0.13696,0.00,0.00,0.00
120,-0.23664,0.11450,-0.76336,-1.01587,0.05249,-0.13843,0.00,0.00,0.00
121,0.09924,0.00763,-0.73282,-1.01880,0.06470,-0.13379,0.00,0.00,0.00
122,0.03053,-0.00763,-0.53435,-1.01294,0.05762,-0.12598,0.00,0.00,0.00
123,-0.04580,-0.18321,-0.42748,-1.01587,0.05762,-0.12866,0.00,0.00,0.00
124,-0.09160,0.02290,-0.45038,-1.01685,0.05249,-0.13037,0.00,0.00,0.00
125,0.02290,0.04580,-0.43511,-1.01904,0.05420,-0.13330,0.00,0.00,0.00
126,0.16794,0.06107,-0.36641,-1.01978,0.05933,-0.12939,0.00,0.00,0.00
127,0.20611,0.11450,-0.35878,-1.02002,0.05591,-0.13062,0.00,0.00,0.00
128,0.10687,0.17557,-0.44275,-1.02124,0.05469,-0.13306,0.00,0.00,0.00
129,0.12977,0.11450,-0.56489,-1.01416,0.05688,-0.13892,0.00,0.00,0.00
130,0.21374,0.06870,-0.64885,-1.01953,0.05957,-0.13159,0.00,0.00,0.00
131,0.08397,0.04580,-0.35115,-1.01685,0.05591,-0.13574,0.00,0.00,0.00
132,-0.02290,-0.10687,-0.27481,-1.02466,0.05127,-0.12988,0.00,0.00,0.00
133,0.03053,-0.05344,-0.41985,-1.02075,0.05811,-0.13232,0.00,0.00,0.00
134,0.00000,0.00763,-0.39695,-1.01489,0.05151,-0.13403,0.00,0.00,0.00
135,0.11450,0.08397,-0.42748,-1.02734,0.05566,-0.13916,0.00,0.00,0.00
136,0.25954,0.06107,-0.20611,-1.01514,0.05322,-0.12427,0.00,0.00,0.00
137,0.13740,-0.29771,-0.31298,-1.01758,0.05884,-0.13379,0.00,0.00,0.00
138,0.13740,-0.27481,-0.24427,-1.01978,0.05420,-0.13208,0.00,0.00,0.00
139,0.00000,0.05344,-0.23664,-1.02051,0.05298,-0.14038,0.00,0.00,0.00
140,0.11450,-0.09160,-0.22901,-1.01514,0.05664,-0.13818,0.00,0.00,0.00
141,0.12977,-0.00763,-0.01527,-1.01807,0.05396,-0.13135,0.00,0.00,0.00
142,-0.11450,-0.30534,-0.15267,-1.02026,0.05322,-0.13281,0.00,0.00,0.00
143,-0.02290,0.07634,-0.12977,-1.01782,0.05103,-0.13599,0.00,0.00,0.00
144,-0.00763,0.03053,-0.09924,-1.01880,0.05566,-0.13501,0.00,0.00,0.00
145,-0.03053,-0.18321,-0.25191,-1.02319,0.05566,-0.13672,0.00,0.00,0.00
146,0.10687,0.05344,-0.02290,-1.02124,0.05859,-0.12793,0.00,0.00,0.00
147,-0.16794,-0.08397,0.02290,-1.01270,0.05664,-0.14185,0.00,0.00,0.00
148,-0.09160,0.19084,0.24427,-1.02173,0.05249,-0.13403,0.00,0.00,0.00
149,-0.07634,-0.12214,0.19084,-1.01587,0.05859,-0.13184,0.00,0.00,0.00
150,-0.12977,-0.00763,0.13740,-1.02246,0.05420,-0.13062,0.00,0.00,0.00
151,-0.16031,-0.04580,0.19847,-1.02051,0.05493,-0.13330,0.00,0.00,0.00
152,-0.38168,0.16031,0.15267,-1.01538,0.06006,-0.13916,0.00,0.00,0.00
153,-0.35878,-0.05344,0.09924,-1.01807,0.05640,-0.12939,0.00,0.00,0.00
154,-0.23664,0.15267,0.13740,-1.01685,0.05591,-0.13843,0.00,0.00,0.00
155,-0.22901,0.08397,0.09160,-1.01416,0.05444,-0.13525,0.00,0.00,0.00
156,-0.05344,0.06870,0.04580,-1.02002,0.05566,-0.13550,0.00,0.00,0.00
157,-0.32824,0.02290,-0.03817,-1.01807,0.05713,-0.14453,0.00,0.00,0.00
158,-0.29771,0.26718,-0.10687,-1.02026,0.05713,-0.13403,0.00,0.00,0.00
159,-0.40458,0.33588,0.12214,-1.02026,0.05908,-0.13184,0.00,0.00,0.00
160,-0.35115,0.21374,0.04580,-1.01904,0.05591,-0.13647,0.00,0.00,0.00
161,-0.53435,0.01527,0.02290,-1.01953,0.05884,-0.13135,0.00,0.00,0.00
162,-0.29008,-0.04580,0.20611,-1.01489,0.05981,-0.13110,0.00,0.00,0.00
163,-0.36641,-0.00763,0.15267,-1.01636,0.05420,-0.13794,0.00,0.00,0.00
164,-0.47328,0.07634,0.27481,-1.01392,0.06274,-0.14404,0.00,0.00,0.00
165,-0.40458,0.06870,0.12977,-1.01294,0.05786,-0.14575,0.00,0.00,0.00
166,-0.45038,0.05344,0.19084,-1.02319,0.05811,-0.13867,0.00,0.00,0.00
167,-0.31298,-0.20611,0.38931,-1.02148,0.05444,-0.12891,0.00,0.00,0.00
168,-0.07634,-0.30534,0.33588,-1.01758,0.05908,-0.14185,0.00,0.00,0.00
169,-0.25954,-0.17557,0.41985,-1.01001,0.06055,-0.13062,0.00,0.00,0.00
170,-0.29008,-0.06107,0.34351,-1.01685,0.05859,-0.12964,0.00,0.00,0.00
171,-0.38168,-0.09160,0.17557,-1.01123,0.05518,-0.12622,0.00,0.00,0.00
172,-0.27481,0.04580,0.38168,-1.01904,0.05591,-0.13379,0.00,0.00,0.00
173,-0.27481,-0.08397,0.12214,-1.01733,0.04907,-0.13379,0.00,0.00,0.00
174,-0.22901,0.07634,0.24427,-1.02148,0.06226,-0.13550,0.00,0.00,0.00
175,-0.31298,-0.23664,0.19847,-1.01904,0.06030,-0.13696,0.00,0.00,0.00
176,-0.09924,0.00000,0.37405,-1.01465,0.05737,-0.13184,0.00,0.00,0.00
177,-0.27481,0.00763,0.25191,-1.01929,0.05566,-0.13574,0.00,0.00,0.00
178,-0.35878,0.01527,0.28244,-1.01831,0.06030,-0.13940,0.00,0.00,0.00
179,-0.37405,0.08397,0.29771,-1.01929,0.05957,-0.13721,0.00,0.00,0.00
180,-0.41221,-0.02290,0.20611,-1.01929,0.06055,-0.14233,0.00,0.00,0.00
181,-0.37405,-0.10687,0.18321,-1.01685,0.06152,-0.13135,0.00,0.00,0.00
182,-0.44275,0.02290,0.16031,-1.01440,0.05933,-0.13672,0.00,0.00,0.00
183,-0.21374,0.10687,0.31298,-1.01685,0.05981,-0.13403,0.00,0.00,0.00
184,-0.13740,-0.09924,0.24427,-1.02075,0.05762,-0.14111,0.00,0.00,0.00
185,-0.45802,0.00000,0.19084,-1.01733,0.05713,-0.13257,0.00,0.00,0.00
186,-0.58015,-0.06870,0.28244,-1.01733,0.06348,-0.13452,0.00,0.00,0.00
187,-0.41985,0.12977,0.06107,-1.01807,0.05542,-0.12305,0.00,0.00,0.00
188,-0.62595,0.06107,0.33588,-1.01709,0.05908,-0.13574,0.00,0.00,0.00
189,-0.58015,-0.03053,0.18321,-1.01978,0.05078,-0.13525,0.00,0.00,0.00
190,-0.61069,0.33588,0.22901,-1.01392,0.06787,-0.12744,0.00,0.00,0.00
191,-0.48092,0.09924,0.25954,-1.01758,0.05688,-0.13135,0.00,0.00,0.00
192,-0.29771,-0.04580,0.20611,-1.01660,0.05786,-0.14185,0.00,0.00,0.00
193,-0.54198,0.25191,0.46565,-1.01270,0.05713,-0.13647,0.00,0.00,0.00
194,-0.38931,0.36641,0.12214,-1.01538,0.05884,-0.13843,0.00,0.00,0.00
195,-0.25954,0.12977,0.41985,-1.01392,0.06348,-0.13696,0.00,0.00,0.00
196,-0.16031,-0.10687,0.37405,-1.01587,0.05054,-0.13110,0.00,0.00,0.00
197,-0.14504,0.16794,0.23664,-1.01880,0.05615,-0.13477,0.00,0.00,0.00
198,-0.19847,0.02290,0.38931,-1.02319,0.06445,-0.13574,0.00,0.00,0.00
199,-0.38931,0.11450,0.39695,-1.01538,0.06665,-0.13330,0.00,0.00,0.00
200,-0.33588,0.29008,0.25191,-1.01831,0.06323,-0.13501,0.00,0.00,0.00
201,-0.12977,0.45038,0.03817,-1.02344,0.05908,-0.14331,0.00,0.00,0.00
202,-0.40458,0.09924,0.09160,-1.01440,0.05811,-0.13232,0.00,0.00,0.00
203,-0.02290,0.23664,0.22137,-1.02295,0.06421,-0.13232,0.00,0.00,0.00
204,-0.21374,0.40458,0.04580,-1.01733,0.06543,-0.13794,0.00,0.00,0.00
205,-0.03817,0.20611,0.19084,-1.02295,0.05811,-0.12671,0.00,0.00,0.00
206,0.14504,0.09160,0.12214,-1.02271,0.06738,-0.12769,0.00,0.00,0.00
207,-0.16031,0.03817,0.16031,-1.01953,0.05908,-0.13330,0.00,0.00,0.00
208,0.00000,0.06107,0.24427,-1.01318,0.06079,-0.13403,0.00,0.00,0.00
209,-0.16794,0.21374,0.19084,-1.01733,0.06104,-0.12915,0.00,0.00,0.00
210,-0.10687,0.22901,0.06870,-1.01782,0.06226,-0.13306,0.00,0.00,0.00
211,-0.08397,0.38168,0.06870,-1.01611,0.05371,-0.13647,0.00,0.00,0.00
212,0.03053,0.28244,-0.04580,-1.01123,0.06177,-0.13525,0.00,0.00,0.00
